stagione,data,partita,arbitro,mercato,quota,prob_%,edge_%,stake_€,esito,profitto_€
2023-24,2023-12-09T00:00:00.000,Inter vs Udinese,—,2 - Vittoria Ospite,10.46,13.2,38.2,5.05,✗ Persa,-5.05
2023-24,2023-12-10T00:00:00.000,Monza vs Genoa,—,1 - Vittoria Casa,2.21,54.9,21.3,22.05,✓ Vinta,26.68
2023-24,2023-12-10T00:00:00.000,Salernitana vs Bologna,—,Over 2.5 Gol,2.2,58.7,29.1,30.28,✓ Vinta,36.34
2023-24,2023-12-10T00:00:00.000,Salernitana vs Bologna,—,1 - Vittoria Casa,3.87,30.1,16.7,7.25,✗ Persa,-7.25
2023-24,2023-12-10T00:00:00.000,Roma vs Fiorentina,—,2 - Vittoria Ospite,3.71,31.9,18.4,8.49,✗ Persa,-8.49
2023-24,2023-12-11T00:00:00.000,Empoli vs Lecce,—,Under 2.5 Gol,1.78,70.4,25.2,40.44,✓ Vinta,31.54
2023-24,2023-12-11T00:00:00.000,Cagliari vs Sassuolo,—,2 - Vittoria Ospite,3.06,40.7,24.5,14.86,✗ Persa,-14.86
2023-24,2023-12-16T00:00:00.000,Torino vs Empoli,—,2 - Vittoria Ospite,6.07,20.8,26,6.42,✗ Persa,-6.42
2023-24,2023-12-16T00:00:00.000,Torino vs Empoli,—,Under 2.5 Gol,1.85,66.9,23.8,35.05,✓ Vinta,29.79
2023-24,2023-12-16T00:00:00.000,Torino vs Empoli,—,X - Pareggio,3.96,30,18.6,7.86,✗ Persa,-7.86
2023-24,2023-12-17T00:00:00.000,Bologna vs Roma,—,Over 2.5 Gol,2.62,45.7,19.8,15.31,✗ Persa,-15.31
2023-24,2023-12-17T00:00:00.000,Lazio vs Inter,—,1 - Vittoria Casa,4.91,33.5,64.5,20.64,✗ Persa,-20.64
2023-24,2023-12-17T00:00:00.000,Fiorentina vs Verona,—,X - Pareggio,4.83,25.6,23.7,7.74,✗ Persa,-7.74
2023-24,2023-12-18T00:00:00.000,Atalanta vs Salernitana,—,2 - Vittoria Ospite,9.99,19.1,90.3,12.56,✗ Persa,-12.56
2023-24,2023-12-18T00:00:00.000,Atalanta vs Salernitana,—,X - Pareggio,5.82,22.1,28.8,7.48,✗ Persa,-7.48
2023-24,2023-12-18T00:00:00.000,Atalanta vs Salernitana,—,Over 2.5 Gol,1.63,72.3,17.9,35.45,✓ Vinta,22.33
2023-24,2023-12-22T00:00:00.000,Sassuolo vs Genoa,—,Under 2.5 Gol,1.91,61.1,16.7,22.98,✗ Persa,-22.98
2023-24,2023-12-22T00:00:00.000,Sassuolo vs Genoa,—,1 - Vittoria Casa,2.3,51.8,19.2,18.48,✗ Persa,-18.48
2023-24,2023-12-22T00:00:00.000,Salernitana vs Milan,—,X - Pareggio,4.98,25.5,27.1,8.53,✓ Vinta,33.95
2023-24,2023-12-22T00:00:00.000,Salernitana vs Milan,—,1 - Vittoria Casa,7.4,24.5,81.7,15.95,✗ Persa,-15.95
2023-24,2023-12-23T00:00:00.000,Bologna vs Atalanta,—,Over 2.5 Gol,2.17,66.8,45,48.03,✗ Persa,-48.03
2023-24,2023-12-23T00:00:00.000,Bologna vs Atalanta,—,1 - Vittoria Casa,2.78,41.5,15.3,10.72,✓ Vinta,19.08
2023-24,2023-12-23T00:00:00.000,Inter vs Lecce,—,X - Pareggio,6.54,23,50.2,11.32,✗ Persa,-11.32
2023-24,2023-12-23T00:00:00.000,Inter vs Lecce,—,2 - Vittoria Ospite,12.85,10.3,32.4,3.41,✗ Persa,-3.41
2023-24,2023-12-23T00:00:00.000,Inter vs Lecce,—,Under 2.5 Gol,2.24,52.3,17.2,17.29,✓ Vinta,21.44
2023-24,2023-12-23T00:00:00.000,Verona vs Cagliari,—,Under 2.5 Gol,1.76,66,16.2,26.66,✓ Vinta,20.26
2023-24,2023-12-23T00:00:00.000,Roma vs Napoli,—,X - Pareggio,3.17,40.1,27.1,15.63,✗ Persa,-15.63
2023-24,2023-12-30T00:00:00.000,Atalanta vs Lecce,—,2 - Vittoria Ospite,7.93,16.3,28.9,5.22,✗ Persa,-5.22
2023-24,2023-12-30T00:00:00.000,Atalanta vs Lecce,—,X - Pareggio,4.61,25.5,17.8,6.15,✗ Persa,-6.15
2023-24,2023-12-30T00:00:00.000,Cagliari vs Empoli,—,2 - Vittoria Ospite,3.7,38.6,42.9,19.87,✗ Persa,-19.87
2023-24,2023-12-30T00:00:00.000,Cagliari vs Empoli,—,Under 2.5 Gol,1.88,62.8,18.1,25.78,✓ Vinta,22.69
2023-24,2023-12-30T00:00:00.000,Udinese vs Bologna,—,Over 2.5 Gol,2.45,47.7,16.8,14.52,✓ Vinta,21.05
2023-24,2023-12-30T00:00:00.000,Milan vs Sassuolo,—,X - Pareggio,4.99,23.1,15.3,4.79,✗ Persa,-4.79
2023-24,2023-12-30T00:00:00.000,Verona vs Salernitana,—,2 - Vittoria Ospite,4.22,36.1,52.5,20.37,✓ Vinta,65.59
2023-24,2023-12-30T00:00:00.000,Juventus vs Roma,—,X - Pareggio,3.1,41.3,27.9,16.61,✗ Persa,-16.61
2023-24,2024-01-05T00:00:00.000,Bologna vs Genoa,—,1 - Vittoria Casa,2.09,60.4,26.3,30.12,✗ Persa,-30.12
2023-24,2024-01-06T00:00:00.000,Lecce vs Cagliari,—,Under 2.5 Gol,1.69,70.4,19,34.45,✓ Vinta,23.77
2023-24,2024-01-06T00:00:00.000,Inter vs Verona,—,X - Pareggio,7.94,18.5,46.9,8.45,✗ Persa,-8.45
2023-24,2024-01-06T00:00:00.000,Inter vs Verona,—,2 - Vittoria Ospite,16.21,7.9,28,2.3,✗ Persa,-2.3
2023-24,2024-01-07T00:00:00.000,Empoli vs Milan,—,Under 2.5 Gol,2.1,55.3,16.2,18.37,✗ Persa,-18.37
2023-24,2024-01-07T00:00:00.000,Empoli vs Milan,—,1 - Vittoria Casa,5.3,24.6,30.5,8.87,✗ Persa,-8.87
2023-24,2024-01-07T00:00:00.000,Roma vs Atalanta,—,Over 2.5 Gol,2.21,57,26.1,26.91,✗ Persa,-26.91
2023-24,2024-01-07T00:00:00.000,Salernitana vs Juventus,—,X - Pareggio,4.78,27.5,31.3,10.36,✗ Persa,-10.36
2023-24,2024-01-07T00:00:00.000,Salernitana vs Juventus,—,1 - Vittoria Casa,8.77,25.4,122.9,19.77,✗ Persa,-19.77
2023-24,2024-01-13T00:00:00.000,Genoa vs Torino,—,2 - Vittoria Ospite,2.72,45.1,22.6,16.45,✗ Persa,-16.45
2023-24,2024-01-13T00:00:00.000,Genoa vs Torino,—,Under 2.5 Gol,1.47,78.5,15.4,40.94,✓ Vinta,19.24
2023-24,2024-01-13T00:00:00.000,Napoli vs Salernitana,—,X - Pareggio,5.65,21.8,23,6.19,✗ Persa,-6.19
2023-24,2024-01-13T00:00:00.000,Verona vs Empoli,—,2 - Vittoria Ospite,3.58,34.1,22,10.68,✗ Persa,-10.68
2023-24,2024-01-13T00:00:00.000,Monza vs Inter,—,X - Pareggio,4.57,25.9,18.5,6.47,✗ Persa,-6.47
2023-24,2024-01-13T00:00:00.000,Monza vs Inter,—,1 - Vittoria Casa,6.57,24.6,61.6,13.83,✗ Persa,-13.83
2023-24,2024-01-14T00:00:00.000,Cagliari vs Bologna,—,2 - Vittoria Ospite,2.55,51.2,30.6,24.71,✗ Persa,-24.71
2023-24,2024-01-14T00:00:00.000,Cagliari vs Bologna,—,Over 2.5 Gol,2.53,49.8,26,21.21,✓ Vinta,32.45
2023-24,2024-01-14T00:00:00.000,Milan vs Roma,—,X - Pareggio,3.21,38.4,23.4,13.23,✗ Persa,-13.23
2023-24,2024-01-16T00:00:00.000,Juventus vs Sassuolo,—,2 - Vittoria Ospite,8.54,16.4,40.3,6.69,✗ Persa,-6.69
2023-24,2024-01-16T00:00:00.000,Juventus vs Sassuolo,—,X - Pareggio,4.96,24.9,23.5,7.43,✗ Persa,-7.43
2023-24,2024-01-20T00:00:00.000,Roma vs Verona,—,X - Pareggio,4.34,27.4,19.1,7.15,✗ Persa,-7.15
2023-24,2024-01-20T00:00:00.000,Roma vs Verona,—,2 - Vittoria Ospite,8.03,14.7,18.2,3.24,✗ Persa,-3.24
